group,variable,value
2015,Jan,30
2015,Feb,95
2015,Mar,22
2015,Apr,14
2015,May,59
2015,Jun,52
2015,Jul,88
2015,Aug,20
2015,Sep,99
2015,Oct,66
2015,Nov,43
2015,Dec,50
2016,Jan,37
2016,Feb,50
2016,Mar,81
2016,Apr,79
2016,May,84
2016,Jun,91
2016,Jul,82
2016,Aug,89
2016,Sep,55
2016,Oct,66
2016,Nov,43
2016,Dec,50
2017,Jan,96
2017,Feb,13
2017,Mar,98
2017,Apr,10
2017,May,86
2017,Jun,23
2017,Jul,74
2017,Aug,47
2017,Sep,73
2017,Oct,66
2017,Nov,43
2017,Dec,50
2018,Jan,75
2018,Feb,18
2018,Mar,92
2018,Apr,43
2018,May,16
2018,Jun,27
2018,Jul,76
2018,Aug,24
2018,Sep,10
2018,Oct,66
2018,Nov,43
2018,Dec,50
2019,Jan,44
2019,Feb,29
2019,Mar,58
2019,Apr,55
2019,May,65
2019,Jun,56
2019,Jul,90
2019,Aug,78
2019,Sep,49
2019,Oct,66
2019,Nov,43
2019,Dec,50
